"job_id","start_time","conclusion","dynamoKey","name","job_name"
"28782962597","2024-08-14 19:51:33.000000000","success","pytorch/pytorch/28782962597","linux-focal-py3.12-clang10 / test (dynamo__ 2__ 3__ amz2023.linux.2xlarge)","linux-focal-py3.12-clang10 / test "
"28783001718","2024-08-14 19:51:32.000000000","success","pytorch/pytorch/28783001718","Upload test stats for 10392034952__ attempt 1","Upload test stats for 10392034952__ attempt 1"
"28782387201","2024-08-14 19:51:32.000000000","success","pytorch/pytorch/28782387201","linux-jammy-cpu-py3.8-gcc11-inductor / test (dynamic_cpu_inductor_torchbench__ 1__ 2__ amz2023.linux.12xlarge)","linux-jammy-cpu-py3.8-gcc11-inductor / test "
"28783002904","2024-08-14 19:51:30.000000000","success","pytorch/pytorch/28783002904","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (dynamic_aot_eager_torchbench__ 1__ 2__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28783001976","2024-08-14 19:51:30.000000000","success","pytorch/pytorch/28783001976","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (aot_eager_torchbench__ 2__ 2__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28783003603","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28783003603","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (dynamic_aot_eager_timm__ 1__ 2__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28783003379","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28783003379","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (dynamic_aot_eager_huggingface__ 1__ 1__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28783003173","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28783003173","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (dynamic_aot_eager_torchbench__ 2__ 2__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28783002692","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28783002692","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (aot_eager_timm__ 2__ 2__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
"28783002459","2024-08-14 19:51:29.000000000","success","pytorch/pytorch/28783002459","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test (aot_eager_timm__ 1__ 2__ linux.g5.4xlarge.nvidia.gpu)","cuda12.1-py3.10-gcc9-sm86-periodic-dynamo-benchmarks / test "
